SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree949	-11352.2	0	0	10	0.263	167.781	178.707	26.663
tree950	-11352.2	0	0	10	0.273	137.512	150.297	28.512
tree951	-11352.2	0	0	10	0.245	139.932	156.816	32.639
tree952	-11352.2	0	0	10	0.313	166.393	179.035	28.329
tree953	-11352.2	0	0	10	0.281	166.266	177.933	27.386
tree954	-11352.2	0	0	10	0.277	166.746	178.235	27.212
tree955	-11352.2	0	0	10	0.282	167.266	178.888	27.34
tree956	-11352.2	0	0	10	0.264	166.478	179.263	28.521
tree957	-11352.2	0	0	10	0.28	168.747	180.693	27.666
tree958	-11352.2	0	0	10	0.275	143.237	157.264	29.752
tree959	-11352.2	0	0	10	0.262	154.301	167.841	29.278
