SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree338	-39.9103	0.000149593	0.150741	0.0939467	0.002	4.404	2.329	13.923
tree339	-46.447	2.46085e-05	0.263494	0.215621	0	8.048	4.179	12.131
tree340	-45.0155	1e-06	0.219646	0.194467	0	7.117	4.443	13.326
tree341	-46.4983	1e-06	0.220232	0.208846	0	6.676	4.792	14.116
tree342	-44.2669	1e-06	0.189517	0.180797	0	6.384	4.493	14.109
tree343	-43.5585	8.11329e-06	0.161581	0.163121	0	4.904	4.3	15.396
tree344	-44.164	1e-06	0.215633	0.174332	0	6.682	3.947	13.265
tree345	-44.462	1e-06	0.262207	0.149422	0	7.279	2.992	11.713
tree346	-45.3375	0.000180829	0.190931	0.189988	0	5.813	4.804	14.991
tree347	-39.0589	8.27718e-05	0.150192	0.0946886	0.001	5.08	1.956	12.875
tree348	-44.164	1e-06	0.215633	0.174332	0	6.748	3.91	13.162
tree349	-45.9447	1e-06	0.248485	0.205668	0	7.438	4.375	12.937
tree350	-44.164	1e-06	0.215633	0.174332	0	6.836	3.895	13.059
tree351	-45.3375	0.000180829	0.190931	0.189988	0.001	5.789	4.9	15.11
tree352	-44.2669	1e-06	0.189517	0.180797	0	6.464	4.472	14.008
tree353	-45.9447	1e-06	0.248485	0.205668	0	7.604	4.316	12.712
tree354	-44.2669	1e-06	0.189517	0.180797	0	6.368	4.548	14.18
tree355	-43.5952	0.000153764	0.248836	0.154794	0	6.775	3.164	12.389
tree356	-45.9169	1e-06	0.244904	0.207728	0	7.492	4.466	12.974
tree357	-44.164	1e-06	0.215633	0.174332	0	6.737	3.914	13.177
tree358	-43.5952	0.000153764	0.248836	0.154794	0.001	6.816	3.179	12.362
tree359	-43.4426	0.00119643	0.206112	0.184884	0.004	6.671	4.188	13.513
tree360	-45.8644	1e-06	0.217457	0.205889	0	7.211	4.789	13.578
tree361	-43.5585	8.11329e-06	0.161581	0.163121	0	4.949	4.254	15.305
tree362	-43.5952	0.000153764	0.248836	0.154794	0	6.763	3.203	12.44
tree363	-42.4082	1.64171e-05	0.176543	0.122366	0	5.89	3.184	13.294
