SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree78	-44.0724	0	0.252984	0.126284	0	7.052	2.633	11.581
tree79	-44.9898	0	0.252342	0.136144	0	7.66	2.618	10.958
tree80	-45.9446	0	0.247154	0.205827	0	7.525	4.44	12.915
tree81	-45.9446	0	0.247154	0.205827	0	7.523	4.365	12.842
tree82	-46.1319	0	0.218633	0.204299	0	6.583	4.631	14.048
tree83	-42.3111	0	0.147972	0.14542	0	4.526	3.902	15.376
tree84	-44.2942	0	0.181631	0.1932	0	6.409	5.247	14.838
tree85	-43.7804	0	0.246956	0.133827	0	6.94	2.827	11.887
tree86	-42.3111	0	0.147972	0.14542	0	4.518	3.932	15.414
tree87	-41.7456	0	0.187002	0.178722	0	6.486	4.465	13.979
tree88	-44.2942	0	0.181631	0.1932	0	6.264	5.317	15.053
tree89	-42.7906	0	0.21	1e-06	0	6.284	0	9.716
tree90	-44.8753	0	0.245471	0.16042	0	7.539	3.042	11.503
tree91	-45.3304	0	0.189079	0.198656	0	5.854	4.963	15.109
tree92	-44.4806	0	0.207961	0.18759	0	6.828	4.561	13.733
tree93	-44.7465	0	0.248102	0.189143	0	7.505	3.812	12.307
tree94	-42.6055	0	0.206614	0.149026	0	6.681	2.727	12.046
tree95	-45.9446	0	0.247154	0.205827	0	7.457	4.363	12.906
tree96	-44.1639	0	0.215064	0.175447	0	6.689	4.025	13.336
tree97	-44.1639	0	0.215064	0.175447	0	6.719	3.998	13.279
tree98	-42.3111	0	0.147972	0.14542	0	4.521	3.936	15.415
tree99	-45.0154	0	0.216724	0.195202	0	7.102	4.39	13.288
tree100	-44.1346	0	0.22768	0.177373	0	6.847	3.928	13.081
tree101	-43.9	0	0.250467	0.135226	0	7.346	2.693	11.347
tree102	-44.2646	0	0.195701	0.178185	0	6.403	4.427	14.024
tree103	-46.4465	0	0.263982	0.214895	0	8.055	4.175	12.12
tree104	-45.3304	0	0.189079	0.198656	0	5.788	4.941	15.153
tree105	-47.166	0	0.163192	0.162748	0	4.97	4.374	15.404
tree106	-32.8786	0	0.140196	1e-06	0	4.048	0	11.952
tree107	-44.1639	0	0.215064	0.175447	0	6.806	3.986	13.18
tree108	-43.2304	0	0.175936	0.175658	0	5.707	4.245	14.538
tree109	-46.4465	0	0.263982	0.214895	0	8.101	4.037	11.936
tree110	-42.1286	0	0.177242	0.126121	0	5.733	3.296	13.563
tree111	-44.1639	0	0.215064	0.175447	0	6.724	3.957	13.233
tree112	-42.7906	0	0.21	1e-06	0	6.32	0	9.68
tree113	-45.0154	0	0.216724	0.195202	0	7.156	4.492	13.336
tree114	-44.2646	0	0.195701	0.178185	0	6.515	4.343	13.828
tree115	-43.1657	0	0.221852	0.119122	0	6.239	2.684	12.445
tree116	-42.2539	0	0.223858	0.0984806	0	6.732	1.784	11.052
tree117	-45.3951	0	0.2072	0.200049	0	7.178	4.893	13.715
tree118	-44.6971	0	0.184677	0.192338	0	6.638	5.078	14.44
tree119	-44.0724	0	0.252984	0.126284	0	7.044	2.682	11.638
tree120	-44.1639	0	0.215064	0.175447	0	6.738	3.963	13.225
