SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree404	-45.7854	1e-06	0.31	0	0	8.225	0	7.775
tree405	-48.7836	1e-06	0.31	0	0	8.736	0	7.264
tree406	-48.9738	1e-06	0.31	0	0	8.859	0	7.141
tree407	-47.8385	1e-06	0.31	0	0	8.751	0	7.249
tree408	-47.985	1e-06	0.31	0	0	8.741	0	7.259
tree409	-48.9738	1e-06	0.31	0	0	8.846	0	7.154
tree410	-50.4283	1e-06	0.51	0	0	9.751	0	6.249
tree411	-47.9082	1e-06	0.31	0	0	8.789	0	7.211
tree412	-48.3105	1e-06	0.31	0	0	9.109	0	6.891
tree413	-48.9738	1e-06	0.31	0	0	8.84	0	7.16
tree414	-47.985	1e-06	0.31	0	0	8.69	0	7.31
tree415	-48.9738	1e-06	0.31	0	0	8.843	0	7.157
tree416	-48.7836	1e-06	0.31	0	0	8.753	0	7.247
tree417	-46.0424	1e-06	0.287319	0	0	7.406	0	8.594
tree418	-46.0413	1e-06	0.31	0	0	8.144	0	7.856
tree419	-48.9738	1e-06	0.31	0	0	8.906	0	7.094
tree420	-47.985	1e-06	0.31	0	0	8.707	0	7.293
