SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree857	-11354.9	0.01	0	0	0.286	420.731	416.809	11.792
tree858	-11354.9	0.01	0	0	0.301	426.028	422.433	12.104
tree859	-11354.9	0.01	0	0	0.291	424.249	420.438	11.898
tree860	-11355	0.01	0	0	0.304	428.594	424.891	11.993
tree861	-11354.9	0.01	0	0	0.284	429.674	426.076	12.118
tree862	-11354.9	0.01	0	0	0.293	426.598	422.863	11.972
tree863	-11354.9	0.01	0	0	0.304	426.581	422.758	11.873
tree864	-11354.9	0.01	0	0	0.301	430.853	427.212	12.058
tree865	-11355	0.01	0	0	0.283	413.695	409.606	11.628
tree866	-11354.9	0.01	0	0	0.27	425.395	421.735	12.07
tree867	-11354.9	0.01	0	0	0.277	429.057	425.578	12.244
tree868	-11355	0.01	0	0	0.306	418.038	414.117	11.773
tree869	-11355	0.01	0	0	0.282	419.869	415.861	11.71
tree870	-11354.9	0.01	0	0	0.29	423.237	419.265	11.738
tree871	-11354.9	0.01	0	0	0.288	425.974	422.151	11.889
tree872	-11354.9	0.01	0	0	0.263	439.452	436.303	12.588
tree873	-11355	0.01	0	0	0.273	434.266	430.604	12.065
tree874	-11354.9	0.01	0	0	0.282	448.712	445.718	12.724
tree875	-11355	0.01	0	0	0.298	414.666	410.675	11.711
tree876	-11354.9	0.01	0	0	0.306	424.019	419.94	11.615
tree877	-11355	0.01	0	0	0.301	432.461	428.918	12.156
tree878	-11355	0.01	0	0	0.312	430.802	427.162	12.048
tree879	-11354.9	0.01	0	0	0.282	436.021	432.569	12.266
tree880	-11354.9	0.01	0	0	0.3	426.297	422.44	11.843
tree881	-11354.9	0.01	0	0	0.3	429.473	426.124	12.351
tree882	-11355	0.01	0	0	0.233	433.008	429.49	12.249
tree883	-11354.9	0.01	0	0	0.295	432.829	429.491	12.367
tree884	-11354.9	0.01	0	0	0.272	430.843	427.224	12.109
tree885	-11355	0.01	0	0	0.301	419.81	415.9	11.789
tree886	-11354.9	0.01	0	0	0.283	435.785	432.325	12.257
tree887	-11354.9	0.01	0	0	0.268	446.141	443.008	12.599
tree888	-11354.9	0.01	0	0	0.288	429.976	426.34	12.076
tree889	-11354.9	0.01	0	0	0.264	432.779	429.304	12.261
tree890	-11354.9	0.01	0	0	0.283	445.985	443.027	12.759
tree891	-11354.9	0.01	0	0	0.283	429.438	425.743	12.022
tree892	-11354.9	0.01	0	0	0.287	421.701	417.715	11.727
tree893	-11354.9	0.01	0	0	0.285	436.983	433.295	12.027
tree894	-11354.9	0.01	0	0	0.27	436.065	432.481	12.146
tree895	-11354.9	0.01	0	0	0.289	427.361	423.486	11.836
tree896	-11354.9	0.01	0	0	0.302	428.604	424.878	11.972
tree897	-11354.9	0.01	0	0	0.275	444.437	441.223	12.511
