SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree235	-11354.9	0	0	0	0.304	424.072	420.075	11.699
tree236	-11354.9	0	0	0	0.283	424.765	421.072	12.024
tree237	-11354.9	0	0	0	0.299	422.563	418.796	11.934
tree238	-11354.9	0	0	0	0.305	428.74	425.022	11.977
tree239	-11354.9	0	0	0	0.302	449.435	446.424	12.687
tree240	-11354.9	0	0	0	0.275	424.685	420.754	11.794
tree241	-11354.9	0	0	0	0.301	440.405	437.059	12.353
tree242	-11354.9	0	0	0	0.302	418.529	414.428	11.597
tree243	-11354.9	0	0	0	0.255	456.375	453.902	13.272
tree244	-11354.9	0	0	0	0.267	429.615	425.953	12.071
tree245	-11354.9	0	0	0	0.303	424.521	420.835	12.011
tree246	-11354.9	0	0	0	0.279	427.423	423.593	11.891
tree247	-11354.9	0	0	0	0.293	427.216	423.528	12.019
tree248	-11354.9	0	0	0	0.334	423.525	419.557	11.698
tree249	-11354.9	0	0	0	0.257	431.482	427.707	11.968
tree250	-11354.9	0	0	0	0.319	437.922	434.642	12.401
tree251	-11354.9	0	0	0	0.291	426.458	422.775	12.026
tree252	-11354.9	0	0	0	0.3	447.478	444.673	12.895
tree253	-11354.9	0	0	0	0.288	430.785	426.958	11.885
tree254	-11354.9	0	0	0	0.269	435.157	431.959	12.533
tree255	-11354.9	0	0	0	0.296	431.617	428.107	12.194
tree256	-11354.9	0	0	0	0.288	424.723	420.831	11.82
tree257	-11354.9	0	0	0	0.278	428.735	424.923	11.91
tree258	-11354.9	0	0	0	0.269	431.904	428.264	12.091
tree259	-11354.9	0	0	0	0.276	436.418	433.423	12.729
tree260	-11354.9	0	0	0	0.284	432.426	428.745	12.035
tree261	-11354.9	0	0	0	0.325	418.836	414.788	11.627
tree262	-11354.9	0	0	0	0.301	439.224	435.894	12.369
tree263	-11354.9	0	0	0	0.269	426.789	422.989	11.931
tree264	-11354.9	0	0	0	0.289	448.8	446.025	12.936
tree265	-11354.9	0	0	0	0.322	426.29	422.39	11.778
tree266	-11354.9	0	0	0	0.266	429.848	426.018	11.904
tree267	-11354.9	0	0	0	0.284	430.682	427.277	12.311
tree268	-11354.9	0	0	0	0.273	425.844	422.044	11.927
tree269	-11354.9	0	0	0	0.274	434.281	430.75	12.195
tree270	-11354.9	0	0	0	0.277	425.341	421.456	11.838
tree271	-11354.9	0	0	0	0.283	441.539	438.507	12.685
tree272	-11354.9	0	0	0	0.283	428.055	424.311	11.973
tree273	-11354.9	0	0	0	0.273	432.017	428.202	11.912
tree274	-11354.9	0	0	0	0.27	431.341	427.759	12.148
tree275	-11354.9	0	0	0	0.285	425.568	421.775	11.922
tree276	-11354.9	0	0	0	0.287	422.308	418.417	11.822
tree277	-11354.9	0	0	0	0.278	431.783	428.295	12.234
tree278	-11354.9	0	0	0	0.305	434.364	430.906	12.237
tree279	-11354.9	0	0	0	0.299	427.04	423.334	11.995
tree280	-11354.9	0	0	0	0.313	434.758	431.407	12.336
tree281	-11354.9	0	0	0	0.279	435.823	432.488	12.386
tree282	-11354.9	0	0	0	0.276	439.721	436.287	12.29
tree283	-11354.9	0	0	0	0.276	428.738	424.911	11.897
tree284	-11354.9	0	0	0	0.279	440.949	437.794	12.566
tree285	-11354.9	0	0	0	0.28	427.326	423.66	12.054
tree286	-11354.9	0	0	0	0.275	432.996	429.62	12.349
tree287	-11354.9	0	0	0	0.307	437.055	433.808	12.446
tree288	-11354.9	0	0	0	0.296	437.969	434.57	12.305
tree289	-11354.9	0	0	0	0.296	429.723	426.108	12.089
tree290	-11354.9	0	0	0	0.295	447.452	444.465	12.718
tree291	-11354.9	0	0	0	0.306	426.52	422.987	12.161
tree292	-11354.9	0	0	0	0.278	434.374	430.931	12.279
tree293	-11354.9	0	0	0	0.301	432.632	429.088	12.155
tree294	-11354.9	0	0	0	0.294	424.952	421.438	12.192
tree295	-11354.9	0	0	0	0.243	428.696	424.981	12.042
tree296	-11354.9	0	0	0	0.302	429.069	425.333	11.962
tree297	-11354.9	0	0	0	0.307	426.904	422.951	11.74
tree298	-11354.9	0	0	0	0.285	433.311	429.795	12.199
tree299	-11354.9	0	0	0	0.293	421.788	417.94	11.859
tree300	-11354.9	0	0	0	0.292	447.071	444.292	12.929
tree301	-11354.9	0	0	0	0.272	429.125	425.351	11.954
tree302	-11354.9	0	0	0	0.307	444.005	440.762	12.45
