Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extant_mrca	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
680	-4893.53	-4905.389	11.85997	0.228755	0.206234	0.076705	0.0743493	0.0785396	0.0285161	0.0218626	0.0829818	0.0347921	0.0734828	0.018069	0.023765	0.194324	0.00449465	0.0351451	0.0548518	0.0439816	0.0642293	0.0408559	0.00916029	0.095613	0.0324364	0.0897403	0.0541077	0.0514652	0.072845	0.00243527	0.0360214	0.0457282	0.0168942	0.021525	0.0354211	0.0218253	0.0281647	0.03803566	-0.2460155	79.83077	0.2547132	-3.269231	0.008697653	29.28528	0.7911517
700	-4875.64	-4904.181	28.54078	0.291965	0.240537	0.045668	0.0463587	0.0690821	0.0317752	0.0236877	0.0714654	0.0211917	0.050477	0.0196894	0.0296084	0.0409511	0.00531574	0.0693955	0.0517496	0.0278714	0.0492523	0.037386	0.0215119	0.0349655	0.0330987	0.0301566	0.0549744	0.0290913	0.0623109	0.00552392	0.051041	0.0247322	0.0318864	0.0658893	0.0375405	0.0143139	0.0350968	0.03365611	-0.2333589	68.37528	0.238377	-3.391561	0.005018056	47.50385	0.6326827
720	-4879.754	-4903.156	23.40219	0.309439	0.226163	0.052907	0.0230003	0.036116	0.0211549	0.0330683	0.0555612	0.0228452	0.0268384	0.0301416	0.0244212	0.0216774	0.00467262	0.0466237	0.0344682	0.0251028	0.0650347	0.0338887	0.0123508	0.0230832	0.0517136	0.0289622	0.0875575	0.0317193	0.0679278	0.0035157	0.0639675	0.0205017	0.0596784	0.0209718	0.0547301	0.06317	0.037309	0.03233976	-0.1317608	68.05069	0.1373519	-3.431458	0.005591123	24.56607	0.5935668
740	-4880.455	-4901.877	21.42247	0.258542	0.236393	0.0435809	0.0489643	0.0241661	0.0240557	0.0265356	0.0806057	0.045274	0.0633238	0.0163881	0.0252312	0.0313558	0.00499191	0.0610028	0.074212	0.0329067	0.0442249	0.0450054	0.0118227	0.0275445	0.0375706	0.0207046	0.0704749	0.120266	0.0599526	0.00404938	0.0915619	0.0303672	0.0375344	0.0229719	0.0203578	0.0456806	0.0172416	0.03569913	-0.3601431	66.42103	0.3685078	-3.332629	0.008364732	44.05495	0.7238208
760	-4898.668	-4924.788	26.11977	0.312318	0.207176	0.0437987	0.0603037	0.0260162	0.0164341	0.0413984	0.061803	0.0355962	0.0333235	0.014051	0.0337758	0.0641452	0.00709106	0.0387141	0.0541038	0.0192693	0.0716693	0.0297682	0.0187138	0.0246802	0.0305733	0.014357	0.035174	0.0314979	0.0254709	0.00552223	0.0460289	0.0780764	0.0600609	0.0274472	0.0297977	0.0910939	0.0645062	0.03327389	-0.3608768	66.43765	0.3707833	-3.402982	0.009906415	37.4286	0.6385523
780	-4890.314	-4909.991	19.67726	0.248	0.223053	0.0160218	0.0528268	0.0297974	0.0494878	0.0315621	0.0544728	0.0294041	0.0408817	0.0153137	0.0380276	0.0419989	0.00540447	0.0703798	0.0371299	0.0129771	0.0383147	0.0415385	0.0291302	0.0365206	0.0333542	0.0203715	0.112788	0.0471056	0.0481596	0.00467222	0.120214	0.0590328	0.0299984	0.0240161	0.0235682	0.0158366	0.0217847	0.03747858	-0.3567561	74.7528	0.3620531	-3.283986	0.005297063	68.34978	0.6019124
800	-4874.121	-4902.216	28.09453	0.232382	0.244839	0.0361419	0.0366798	0.0201468	0.0233826	0.0293068	0.0503397	0.0263121	0.0450435	0.0178158	0.0215363	0.0474863	0.00138542	0.0293827	0.0440802	0.0167207	0.0299966	0.0334045	0.0147237	0.0147096	0.0338068	0.0196057	0.0334139	0.0796846	0.0324651	0.00436241	0.0576643	0.0345705	0.0215858	0.0329459	0.0105059	0.0182386	0.0272771	0.02740787	-0.3112551	84.22452	0.3124341	-3.596925	0.001178976	265.0047	0.6757272
820	-4881.173	-4906.758	25.58552	0.264798	0.236317	0.013712	0.0174749	0.0301104	0.0185227	0.0225178	0.0401017	0.0150532	0.0315554	0.015874	0.0256924	0.0428513	0.00772086	0.0309002	0.04377	0.0223046	0.0765421	0.0448396	0.0778099	0.0132494	0.0346194	0.0352768	0.0551574	0.0550335	0.0617493	0.00317636	0.0345062	0.0333471	0.0312447	0.0334235	0.0607583	0.0214502	0.0124038	0.03021828	-0.3432114	74.99762	0.3467922	-3.499308	0.003580771	96.84847	0.6115086
840	-4874.305	-4902.141	27.83607	0.25638	0.220091	0.0205818	0.0202001	0.0406848	0.0150368	0.0167576	0.04523	0.0136581	0.0325241	0.0106006	0.0196565	0.0558948	0.00645282	0.0183157	0.0380375	0.00942684	0.0789476	0.0255778	0.0116916	0.0167349	0.0576822	0.0165476	0.0397407	0.0523296	0.039698	0.00200524	0.0392643	0.00783089	0.0116114	0.0229127	0.0177187	0.00764896	0.0255496	0.01802723	-0.1776426	82.63433	0.1816125	-4.015872	0.003969923	45.74711	0.8652758
860	-4875.47	-4903.931	28.46159	0.27632	0.238912	0.0197642	0.0224312	0.0247708	0.0299965	0.0325857	0.0412644	0.017696	0.014694	0.0176343	0.0249593	0.0468019	0.00673181	0.0633304	0.0267527	0.0101521	0.0480815	0.0324749	0.0171316	0.0304739	0.0163589	0.0683435	0.0571085	0.0295515	0.02256	0.00310521	0.0539899	0.0209122	0.030344	0.0158769	0.0224553	0.0208287	0.0404435	0.02353721	-0.1118162	68.95365	0.1177105	-3.749173	0.005894209	19.97053	0.7294626
880	-4868.761	-4907.686	38.92587	0.305543	0.254759	0.019445	0.0086572	0.0296794	0.0121455	0.0155065	0.0328968	0.0150883	0.00877262	0.00659062	0.022994	0.0213756	0.00479763	0.0251773	0.0305216	0.0200219	0.0211344	0.0180013	0.011132	0.0449808	0.0253808	0.0319363	0.0336936	0.0335396	0.0308911	0.00293656	0.0245316	0.0213703	0.0256162	0.0286802	0.0131216	0.0319362	0.0176957	0.01928832	-0.2380844	71.94696	0.2464975	-3.948256	0.008413126	29.29916	0.4919861
900	-4872.37	-4915.868	43.49865	0.27464	0.227771	0.00987449	0.0229497	0.0231507	0.00983127	0.0298852	0.0379223	0.0198167	0.0267906	0.00936927	0.0175584	0.0496449	0.00560616	0.0222617	0.0398447	0.0130719	0.0254277	0.0202213	0.0162649	0.0169592	0.0237629	0.0298444	0.0387452	0.0243955	0.0116185	0.00492671	0.028491	0.0136886	0.0283319	0.0184328	0.011091	0.0167389	0.0197691	0.018336	-0.2545815	68.64286	0.2579692	-3.998889	0.003387775	76.1471	0.4785046
920	-4871.606	-4915.044	43.43841	0.287714	0.246914	0.0178342	0.0150733	0.0181579	0.0177769	0.0232976	0.0222736	0.0126399	0.0201873	0.0101127	0.0231126	0.0167258	0.00415904	0.0207407	0.0123931	0.00947004	0.0339867	0.0211386	0.00900134	0.0151273	0.0368708	0.020028	0.0316665	0.0165556	0.0265141	0.0025432	0.0599217	0.0180483	0.0236381	0.0183461	0.0289905	0.0115465	0.0105303	0.01732754	-0.1674229	83.73895	0.1737522	-4.055458	0.006329308	27.452	0.592632
940	-4874.254	-4916.639	42.38478	0.344947	0.239666	0.0269665	0.0180884	0.0283268	0.0259525	0.00978668	0.0160657	0.00931824	0.0226063	0.00625222	0.0159881	0.0188329	0.0021971	0.0386265	0.0146694	0.00884664	0.0299748	0.02033	0.0119397	0.0242748	0.0117281	0.0257355	0.0288691	0.0153409	0.0110504	0.00224865	0.0285101	0.0161074	0.00707287	0.00700398	0.00418068	0.0117732	0.01965	0.01337116	-0.1588077	94.62554	0.1658429	-4.314655	0.007035165	23.57342	0.633385
960	-4871.106	-4907.374	36.2681	0.28711	0.257919	0.028807	0.0121676	0.0284783	0.028174	0.0122095	0.017277	0.00621282	0.016948	0.00832221	0.0212512	0.0180839	0.0042824	0.0735408	0.023629	0.0244035	0.0405895	0.0105902	0.01021	0.00538989	0.015449	0.0268451	0.0530488	0.0150364	0.0109994	0.00211923	0.0394739	0.00801671	0.0135127	0.00804535	0.0219655	0.00754522	0.0153121	0.01383612	-0.1817438	82.93606	0.1981319	-4.280473	0.01638811	12.08998	0.7952699
980	-4859.712	-4905.795	46.08257	0.270731	0.243365	0.00944675	0.0134748	0.021589	0.0138445	0.0193511	0.0176572	0.00877548	0.0158063	0.00619037	0.0145006	0.0270872	0.00579643	0.0319472	0.022358	0.00877693	0.0254722	0.0137072	0.0239876	0.0138128	0.0156929	0.0374356	0.0303938	0.0124716	0.00805106	0.0032676	0.0214381	0.0104716	0.0360983	0.01814	0.0132748	0.0154304	0.0159942	0.01446796	-0.2194021	72.39779	0.2527517	-4.235819	0.03334955	7.578862	0.4347304
